CSVFile,Required,PrimaryKey,RequiredColumns,PassCondition
frame_numerology_matrix.csv,TRUE,TestID,"TestID,Mu,SCS_kHz,CyclicPrefix,ExpectedValid,ResolvedValid,ExpectedSymbolsPerSlot,ResolvedSymbolsPerSlot,ExpectedSlotsPerSubframe,ResolvedSlotsPerSubframe,ExpectedSlotsPerFrame,ResolvedSlotsPerFrame,ErrorID,Status",Every input vector appears exactly once; expected and resolved fields match; all Status=PASS.
carrier_grid_matrix.csv,TRUE,TestID,"TestID,Role,FrequencyRange,CenterFrequency_Hz,ChannelBandwidth_MHz,CarrierSCS_kHz,ExpectedValid,ResolvedValid,ExpectedNRB,ResolvedNRB,NStartGrid,OccupiedBandwidth_Hz,GuardbandLow_Hz,GuardbandHigh_Hz,ErrorID,Status",All TS 38.104 table entries and N/A pairs are covered exactly once; strict invalid pairs throw the expected ID.
slot_symbol_ownership.csv,TRUE,"TestID,CCID,BWPID,Frame,Slot,Symbol","TestID,CellID,CCID,BWPID,Frame,Slot,Symbol,CommonDirection,DedicatedDirection,ResolvedDirection,ResolutionSource,AllocationOwner,Status",Exactly one row per symbol; CommonDirection remains D/U/F; only F may be overridden by dedicated or scheduler resolution.
resource_grid_occupancy.csv,TRUE,"TestID,CCID,BWPID,Slot,Symbol,RB,Port","TestID,CCID,BWPID,Slot,Symbol,RB,Port,Channel,Direction,CollisionFlag,ReservedReason,Status",No duplicate occupied RE key unless explicit multiplexing is supported; every collision is either rejected or explicitly rate-matched.
allocation_legality.csv,TRUE,TestID,"TestID,Channel,Direction,CCID,BWPID,AbsoluteSlot,StartSymbol,NumSymbols,StartRB,NumRB,FlexDecision,ExpectedValid,ActualValid,ReasonCode,Status",Every vector has the expected legality and reason code; no allocation is auto-shifted.
ofdm_roundtrip.csv,TRUE,TestID,"TestID,Mu,SCS_kHz,CyclicPrefix,NRB,Nfft,SampleRate_Hz,CPLengthsSamples,WindowingSamples,OccupiedBandwidth_Hz,GuardbandLow_Hz,GuardbandHigh_Hz,TxGridPower,RxGridPower,NMSE,EVMPercent,AliasingMargin_Hz,Status",WindowingSamples=0 for strict vectors; dimensions match nrOFDMInfo; no-channel round trip NMSE<=1e-12 and EVM<=1e-4 percent.
timing_matrix.csv,TRUE,TestID,"TestID,Procedure,PDCCHAbsSlot,SourceMu,TargetMu,K0,K1,K2,TargetAbsSlot,StartSymbol,ProcessingTimeSymbols,AvailableSymbols,ExpectedValid,ActualValid,ReasonCode,Status",Target times are computed in one absolute timeline; TDD availability and N1/N2 processing limits are enforced.
bwp_switch_trace.csv,TRUE,"TestID,UEID,CCID,Direction,AbsSlot","TestID,UEID,CCID,Direction,AbsSlot,OldBWPID,CommandedBWPID,ActivationAbsSlot,ActiveBWPID,TriggerSource,ExpectedValid,ActualValid,ReasonCode,Status",Switch activation follows the configured procedure and no grant uses an inactive BWP.
component_carrier_trace.csv,TRUE,"TestID,UEID,AbsSlot,GrantType,HARQProcessID","TestID,UEID,SchedulingCellID,ScheduledCellID,CarrierIndicator,AbsSlot,GrantType,HARQProcessID,BWPID,ExpectedValid,ActualValid,ReasonCode,Status","Two-CC tests show no grid, BWP, HARQ, timing or CSI state leakage."
ssb_timing_matrix.csv,TRUE,TestID,"TestID,Case,FrequencyRange,CarrierFrequency_Hz,SSBSCS_kHz,Lmax,CandidateIndex,StartSymbol,Slot,Symbol,ExpectedValid,ActualValid,ReasonCode,Status","Cases A-G are resolved without clamp or retry; every zero-based candidate is present exactly once and matches its resolved half-frame location."
prach_occasion_matrix.csv,TRUE,TestID,"TestID,FrequencyRange,DuplexMode,ConfigurationIndex,Format,PeriodFrames,Frame,AbsoluteSlot,StartSymbol,DurationSymbols,FrequencyIndex,ULAvailable,ExpectedValid,ActualValid,ReasonCode,Status","Every row is materialized by the canonical PRACH resolver over the exact repetition period; no unknown index or format fallback is used."
fdd_grid_trace.csv,TRUE,TestID,"TestID,CCID,Direction,GridID,BWPID,AbsSlot,Symbol,StartRB,NumRB,ResourceKey,ExpectedValid,ActualValid,ReasonCode,Status","DL and UL use separate explicit grid identities and every resource key remains direction- and grid-qualified."
shortcut_removal_audit.csv,TRUE,CheckID,"CheckID,Behavior,SearchScope,MatchCount,ExpectedCount,Status,Reason","Every prohibited active-path shortcut has MatchCount=0 and Status=PASS."
frame_fix_test_summary.csv,TRUE,Suite,"Suite,TestsRun,Passed,Failed,Skipped,Blocked,Status,ResultFile","Failed=0, Skipped=0 and Blocked=0 for every mandatory suite."
frame_image_audit.csv,TRUE,ImageFile,"ImageFile,SourceCSV,SourceCSV_SHA256,ImageSHA256,Width,Height,Mode,FileBytes,NonBlankFraction,PixelStdDev,ExpectedAxes,ObservedAxes,ExpectedSeries,ObservedSeries,Status,Reason",Every required image passes figure-object checks before export and binary/nonblank/hash checks after export.
